JK,Symbol,Name,Market type,Industry,Turnover,Market cap.,Amplitude,P/E,Turnover Ratio
,4218,Nichiban,JPX,Chemicals,32.5M,39.828B,1.83%,21.996,0.15%
,4220,Riken Technos,JPX,Chemicals,135M,57.751B,1.25%,9.191,0.36%
,4221,Okura Industrial,JPX,Chemicals,157M,34.936B,1.58%,8.041,0.62%
,4222,KODAMA CHEMICAL INDUSTRY,JPX,Chemicals,4.2M,2.370B,1.64%,25.062,0.31%
,4224,Lonseal,JPX,Chemicals,5.23M,7.512B,0.43%,16.761,0.12%
,4228,Sekisui Kasei,JPX,Chemicals,43.4M,21.28B,1.06%,19.623,0.35%
,4229,Gun Ei Chemical Industry,JPX,Chemicals,37.6M,21.976B,1.07%,10.769,0.23%
,4231,Tigers Polymer,JPX,Chemicals,39.1M,16.840B,1.30%,20.624,0.41%
,4234,Sun A.Kaken,JPX,Chemicals,2.51M,5.758B,0.92%,-30.116,0.08%
,4235,Ultrafabrics Holdings,JPX,Chemicals,33.6M,17.993B,1.46%,9.615,0.28%
,4237,Fujipream,JPX,Chemicals,21.9M,11.058B,2.05%,15.636,0.81%
,4238,Miraial,JPX,Chemicals,25.4M,14.144B,1.64%,13.785,0.27%
,4240,Cluster Technology,JPX,Chemicals,850K,1.668B,0.68%,28.119,0.07%
,4241,atect,JPX,Chemicals,35.8M,3.227B,5.38%,20.3,2.32%
,4242,Takagi Seiko,JPX,Chemicals,212K,5.894B,0.00%,8.358,0.01%
,4243,NIX,JPX,Chemicals,81K,1.881B,0.00%,11.998,0.01%
,4245,Daiki Axis,JPX,Chemicals,11M,9.727B,0.81%,47.31,0.20%
,4246,DaikyoNishikawa,JPX,Chemicals,81.3M,49.915B,0.57%,8.63,0.32%
,4247,Poval Kogyo,JPX,Chemicals,0,3.193B,0.00%,12.465,0.00%
,4248,Takemoto Yohki,JPX,Chemicals,41.3M,10.155B,1.86%,34.733,0.78%
,4249,Moriroku Holdings,JPX,Chemicals,67.6M,42.606B,1.44%,14.252,0.23%
,4251,KEIWA,JPX,Chemicals,332M,32.379B,3.83%,16.314,1.82%
,4272,Nippon Kayaku,JPX,Chemicals,353M,205.763B,1.13%,50.04,0.19%
,4274,Hosoya Pyro-Engineering,JPX,Chemicals,39.4M,5.287B,2.14%,39.958,1.33%
,4275,Carlit Holdings,JPX,Chemicals,1.5B,33.468B,7.17%,15.019,5.94%
,4360,Manac Chemical Partners,JPX,Chemicals,54.7M,5.627B,7.71%,6.779,2.17%
,4361,Kawaguchi Chemical Industry,JPX,Chemicals,1.44M,1.759B,0.76%,6.885,0.17%
,4362,Nippon Fine Chemical,JPX,Chemicals,59.3M,62.682B,2.34%,15.979,0.19%
,4365,Matsumoto Yushi-Seiyaku,JPX,Chemicals,5.27M,50.717B,1.27%,7.737,0.04%
,4366,Daito Chemix,JPX,Chemicals,4.49M,7.3B,0.89%,7.911,0.11%
,4367,Koei Chemical,JPX,Chemicals,3.04M,11.445B,0.43%,16.568,0.08%
,4368,Fuso Chemical,JPX,Chemicals,357M,146.286B,1.67%,17.533,0.49%
,4369,Tri Chemical Laboratories,JPX,Chemicals,1.08B,140.874B,3.90%,57.017,0.97%
,4401,Adeka,JPX,Chemicals,753M,330.805B,1.22%,14.404,0.30%
,4403,NOF,JPX,Chemicals,1.48B,516.505B,2.82%,15.34,0.35%
,4406,New Japan Chemical,JPX,Chemicals,51M,7.047B,3.23%,-15.856,1.00%
,4409,Toho Chemical Industry,JPX,Chemicals,1.14M,10.893B,0.77%,11.185,0.03%
,4410,Harima Chemicals Group,JPX,Chemicals,26.9M,22.561B,0.54%,-19.412,0.22%
,4452,Kao,JPX,Chemicals,8.85B,3.123T,1.35%,71.188,0.30%
,4461,DKS,JPX,Chemicals,438M,38.04B,4.49%,32.367,1.37%
,4462,Ishihara Chemical,JPX,Chemicals,232M,35.924B,10.17%,18.901,0.69%
,4463,Nicca Chemical,JPX,Chemicals,28.3M,17.039B,1.09%,10.066,0.36%
,4464,SOFT99,JPX,Chemicals,7.72M,32.73B,2.19%,15.981,0.06%
,4465,Niitaka,JPX,Chemicals,7.37M,11.116B,0.79%,19.794,0.12%
,4471,Sanyo Chemical Industries,JPX,Chemicals,92.6M,87.68B,0.63%,-10.312,0.24%
,4531,Yuki Gosei Kogyo,JPX,Chemicals,15.3M,6.656B,0.98%,11.956,0.40%
,4611,Dai Nippon Toryo,JPX,Chemicals,135M,38.085B,2.76%,8.323,0.45%
,4612,Nippon Paint Holdings,JPX,Chemicals,2.52B,2.486T,2.17%,20.985,0.26%
,4613,Kansai Paint,JPX,Chemicals,2.76B,533.996B,1.61%,8.758,0.60%
,4615,Shinto Paint,JPX,Chemicals,5.39M,4.058B,2.29%,-2.246,0.43%
,4616,Kawakami Paint Manufacturing,JPX,Chemicals,168K,1.673B,0.00%,8.24,0.02%
,4617,Chugoku Marine Paints,JPX,Chemicals,304M,99.632B,0.99%,10.07,0.41%
,4619,Nihon Tokushu Toryo,JPX,Chemicals,35M,26.964B,0.65%,6.829,0.19%
,4620,FUJIKURA KASEI,JPX,Chemicals,77.1M,16.932B,2.03%,1721.875,0.72%
,4623,Asahipen,JPX,Chemicals,3.48M,6.321B,0.82%,10.38,0.07%
,4624,Isamu Paint,JPX,Chemicals,3.67M,6.384B,0.60%,14.624,0.26%
,4625,Atomix,JPX,Chemicals,283K,3.756B,0.14%,45.874,0.04%
,4626,Taiyo Holdings,JPX,Chemicals,306M,186.791B,1.05%,21.564,0.26%
,4627,Natoco,JPX,Chemicals,2.23M,11.207B,1.17%,11.777,0.05%
,4628,SK Kaken,JPX,Chemicals,32.8M,113.918B,1.44%,64.405,0.05%
,4629,Daishin Chemical,JPX,Chemicals,1.95M,6.863B,0.60%,7.178,0.06%
,4631,DIC,JPX,Chemicals,1.1B,289.787B,1.72%,-7.27,0.51%
,4633,Sakata Inx,JPX,Chemicals,311M,89.278B,2.21%,11.949,0.42%
,4634,Artience,JPX,Chemicals,1.56B,176.302B,2.13%,18.113,1.37%
,4635,TOKYO PRINTING INK MFG,JPX,Chemicals,13.8M,8.869B,2.26%,5.315,0.28%
,4901,FUJIFILM Holdings,JPX,Chemicals,11.9B,4.503T,2.03%,55.531,0.29%
,4911,Shiseido,JPX,Chemicals,8.62B,1.929T,1.63%,88.732,0.47%
,4912,Lion,JPX,Chemicals,1.38B,351.671B,1.47%,24.781,0.46%
,4914,Takasago International,JPX,Chemicals,125M,76.239B,4.83%,28.245,0.18%
,4917,Mandom,JPX,Chemicals,171M,55.491B,0.81%,21.335,0.40%
,4918,IVY Cosmetics,JPX,Chemicals,4.16M,1.903B,2.44%,-4.437,0.41%
,4919,Milbon,JPX,Chemicals,295M,108.717B,2.22%,27.165,0.36%
,4920,Nippon Shikizai,JPX,Chemicals,2.77M,3.228B,1.58%,8.107,0.29%
,4921,FANCL,JPX,Chemicals,1.9B,334.436B,0.63%,37.996,0.88%
,4922,KOSE,JPX,Chemicals,2.56B,605.95B,1.68%,51.949,0.82%
,4923,Cota,JPX,Chemicals,90.3M,46.018B,2.31%,34.115,0.31%
,4925,HABA LABORATORIES,JPX,Chemicals,27.1M,7.533B,0.80%,-10.642,0.62%
,4926,C'BON COSMETICS,JPX,Chemicals,4.46M,5.976B,0.29%,-14.168,0.11%
,4927,Pola Orbis Holdings,JPX,Chemicals,1.09B,296.765B,0.92%,30.717,1.00%
,4928,Noevir Holdings,JPX,Chemicals,226M,192.642B,0.54%,25.105,0.25%
,4929,Adjuvant Holdings,JPX,Chemicals,7.72M,7.12B,0.90%,-71.257,0.24%
,4930,Graphico,JPX,Chemicals,378K,3.68B,0.00%,16.428,0.43%
,4931,Shinnihonseiyaku,JPX,Chemicals,69.3M,37.411B,1.66%,15.657,0.51%
,4932,Almado,JPX,Chemicals,24.9M,12.017B,1.15%,21.588,0.41%
,4933,I-ne,JPX,Chemicals,53.4M,30.772B,1.86%,8.058,0.47%
,4934,Premier Anti-Aging,JPX,Chemicals,88.9M,8.066B,4.26%,-10.99,3.75%
,4935,Liberta,JPX,Chemicals,36.2M,3.383B,6.67%,30.219,6.97%
,4936,AXXZIA,JPX,Chemicals,83.8M,25.516B,2.72%,20.264,0.93%
,4937,Waqoo,JPX,Chemicals,18M,6.43B,3.62%,190.665,1.11%
,4951,S. T.,JPX,Chemicals,22.9M,35.303B,0.89%,27.678,0.11%
,4955,AGRO-KANESHO,JPX,Chemicals,5.38M,14.736B,1.78%,24.502,0.09%
,4956,Konishi,JPX,Chemicals,105M,84.731B,2.06%,11.941,0.18%
,4957,Yasuhara Chemical,JPX,Chemicals,813K,6.816B,1.34%,12.016,0.04%
,4958,T Hasegawa,JPX,Chemicals,157M,138.248B,1.35%,20.8,0.15%
,4960,Chemipro Kasei Kaisha,JPX,Chemicals,2.13M,6.292B,2.54%,50.384,0.11%
,4966,C. Uyemura,JPX,Chemicals,193M,175.755B,2.94%,16.186,0.20%
,4967,Kobayashi Pharmaceutical,JPX,Chemicals,3.67B,417.636B,1.06%,20.95,1.51%
,4968,Arakawa Chemical Industries,JPX,Chemicals,47.4M,23.807B,1.34%,-22.831,0.28%
,4970,Toyo Gosei,JPX,Chemicals,809M,81.194B,3.20%,33.876,1.48%
,4971,MEC,JPX,Chemicals,322M,87.164B,3.25%,38.065,0.47%
,4972,Soken Chemical & Engineering,JPX,Chemicals,58M,22.427B,1.76%,8.524,0.34%
,4973,Japan Pure Chemical,JPX,Chemicals,56.3M,20.495B,1.84%,37.624,0.36%
,4974,Takara Bio,JPX,Chemicals,308M,131.373B,3.01%,88.699,0.62%
,4975,JCU,JPX,Chemicals,148M,100.317B,1.39%,18.253,0.19%
,4976,Toyo Drilube,JPX,Chemicals,1.7M,4.528B,1.89%,13.615,0.13%
,4977,Nitta Gelatin,JPX,Chemicals,95.1M,14.092B,2.16%,9.025,1.11%
,4978,ReproCELL,JPX,Chemicals,54.4M,12.363B,2.92%,-375.676,0.49%
,4979,OAT Agrio,JPX,Chemicals,66.1M,17.173B,1.71%,7.063,0.67%
,4980,Dexerials,JPX,Chemicals,2.58B,421.626B,2.87%,20.066,0.69%
,4985,Earth,JPX,Chemicals,945M,107.537B,2.20%,26.109,1.37%
,4990,Showa Chemical Industry,JPX,Chemicals,90.4K,4.814B,0.00%,7.765,0.01%
,4992,HOKKO Chemical Industry,JPX,Chemicals,91M,39.782B,2.55%,10.684,0.38%
,4994,Taisei Lamick,JPX,Chemicals,24.3M,17.95B,1.06%,9.703,0.18%
,4996,Kumiai Chemical Industry,JPX,Chemicals,279M,97.023B,1.50%,5.378,0.40%
,4997,Nihon Nohyaku,JPX,Chemicals,116M,60.182B,2.34%,12.596,0.43%
,4998,Fumakilla,JPX,Chemicals,18.3M,20.106B,0.74%,30.064,0.15%
,5142,Achilles,JPX,Chemicals,20.1M,23.274B,1.41%,-20.944,0.10%
,5208,Arisawa Mfg,JPX,Chemicals,581M,55.035B,4.06%,33.562,1.36%
,6776,Tensho Electric Industries,JPX,Chemicals,5.12M,6.278B,1.90%,10.253,0.22%
,6988,Nitto Denko,JPX,Chemicals,8.04B,1.785T,1.21%,17.684,0.47%
,7871,Fukuvi Chemical Industry,JPX,Chemicals,6.12M,16.454B,0.97%,9.646,0.08%
,7874,Lec,JPX,Chemicals,93M,44.251B,4.87%,47.035,0.51%
,7877,Eidai Kako,JPX,Chemicals,151K,1.98B,0.00%,-8.469,0.02%
,7886,Yamato Industry,JPX,Chemicals,31.1M,1.846B,13.17%,51.227,6.30%
,7888,Sanko Gosei,JPX,Chemicals,46.1M,21.948B,1.26%,10.468,0.32%
,7908,Kimoto,JPX,Chemicals,27.7M,10.292B,1.35%,30.716,0.49%
,7917,Fujimori Kogyo,JPX,Chemicals,128M,79.663B,2.72%,17.916,0.23%
,7925,Maezawa Kasei Industries,JPX,Chemicals,497M,27.245B,1.03%,19.993,2.42%
,7927,Muto Seiko,JPX,Chemicals,14.5M,12.972B,0.44%,7.315,0.16%
,7928,Asahi Kagaku Kogyo,JPX,Chemicals,620K,1.767B,0.71%,76.871,0.07%
,7931,Mirai Industry,JPX,Chemicals,115M,63.826B,1.77%,13.004,0.58%
,7940,Wavelock Holdings,JPX,Chemicals,11.2M,5.534B,0.61%,12.126,0.24%
,7942,JSP,JPX,Chemicals,52.2M,59.963B,0.79%,10.314,0.21%
,7947,FP,JPX,Chemicals,632M,198.418B,1.75%,17.108,0.55%
,7958,Tenma,JPX,Chemicals,344M,57.553B,2.04%,19.141,1.62%
,7970,Shin-Etsu Polymer,JPX,Chemicals,170M,123.049B,1.13%,14.294,0.31%
,7971,TOLI,JPX,Chemicals,39.8M,23.437B,1.01%,6.419,0.24%
,7988,Nifco,JPX,Chemicals,983M,375.36B,1.57%,20.91,0.35%
,7995,Valqua,JPX,Chemicals,226M,64.252B,0.96%,13.079,0.42%
,8113,Unicharm,JPX,Chemicals,5.27B,3.055T,1.70%,35.752,0.26%
,9385,Shoei,JPX,Chemicals,5.57M,4.613B,1.17%,-2.852,0.20%
,9845,Parker,JPX,Chemicals,7.06M,23.114B,2.70%,9.331,0.06%
,1401,MBS,JPX,Construction,5.96M,5.342B,1.38%,17.034,0.30%
,1407,West Holdings,JPX,Construction,396M,104.118B,1.88%,17.639,0.74%
,1414,SHO-BOND Holdings,JPX,Construction,667M,301.515B,1.29%,23.759,0.24%
,1417,MIRAIT One,JPX,Construction,613M,193.392B,1.90%,15.877,0.38%
,1418,Interlife Holdings,JPX,Construction,10.4M,3.460B,2.26%,8.985,0.86%
